Name,Category,Description,Link (Some are affiliate links),Operating System,Price,What Tiago uses
Google Keep,Basic notes apps,"Free with a Google account. Capture notes, share them with others, and access them from your computer, phone or tablet. ",https://keep.google.com/,"iOS,Windows,Android,Web App",Free,
Apple Notes,Basic notes apps,"Apple's default notes app allows you to capture a quick thought, create checklists, sketch ideas, and more. With iCloud, you can keep your notes updated across all your devices.",https://support.apple.com/en-us/HT205773,"iOS,macOS,Web App",Free,
Roam,Notetaking apps,The notetaking tool for networked thought. As easy to use as a document.,https://roamresearch.com/,"iOS,Android,Web App,Linux,macOS","Free Trial,Paid",
Obsidian,Notetaking apps,A powerful knowledge base on top of a local folder of plain text Markdown files. Making and following connections is frictionless.,https://obsidian.md/,"iOS,Windows,Android,Linux,macOS","Free,Paid Features",checked
Logseq,Notetaking apps,"A privacy-first, open-source knowledge base that works on top of local plain-text Markdown and Org-mode files. Use it to write, organize and share your thoughts, keep your to-do list, and build your own digital garden.",https://logseq.com/,"iOS,Web App,Linux,Windows,macOS",Free,
Devonthink,Notetaking apps,"Collect, organize, edit and annotate documents of any kind. Have them automatically analyzed, connected, and filed. Sync them between your Mac, iPhone, and iPad.	",https://www.devontechnologies.com/apps/devonthink,"iOS,macOS",Paid,
Bear,Notetaking apps,"A flexible writing app for crafting notes and prose. Link notes to each other to build a body of work. 
",https://bear.app/,"iOS,macOS","Free,Paid Features",
Craft,Notetaking apps,Create structured and linked content easily. Frictionless sharing and collaboration. Built natively for iOS and macOS.,https://www.craft.do/,"iOS,Web App,Windows,macOS","Free,Paid Features",
Milanote,Notetaking apps,"An easy-to-use tool to organize your ideas and projects into visual boards.
",https://milanote.com/,"iOS,Windows,Web App,Browser Extension,Android,macOS",Free,
TheBrain,Notetaking apps,Sync your data across devices with encryption or choose standalone use for zero cloud storage.,https://www.thebrain.com/,"iOS,Android,Windows,macOS","Free,Paid Features",
Amplenote,"Notetaking apps,Task management apps,Calendar app",A notetaking app with an in-built task manager and calendar. ,https://www.amplenote.com/,"iOS,Windows,Android,Web App,Linux,macOS","Free,Paid Features",
Microsoft OneNote,"Notetaking apps,Web clippers,PDF readers,Task management apps","A cross-functional notebook you can organize into sections and pages. Revise your notes with type, highlighting, or ink annotations. Available across all your devices. ",https://www.onenote.com/?public=1,"iOS,Windows,Android,Web App,Browser Extension,macOS",Free,
Notion,"Notetaking apps,Project management apps,Task management apps","A workspace that adapts to your needs and that you can share with your team. Ideal for docs, wikis, and projects. ",https://affiliate.notion.so/fortelabs,"iOS,Windows,Android,Web App,Browser Extension,macOS","Free,Paid Features",checked
Evernote ,"Notetaking apps,PDF readers,Web clippers,Task management apps","Remember everything and tackle any project with your notes, tasks, and schedule all in one place.",https://www.evernote.com/referral/Registration.action?sig=04e4523cfd466ffd3b8f9b99e312cca9d71f20e424ba1ebbcebe00968301afe9&uid=22475313,"iOS,Windows,Android,Web App,Browser Extension,macOS","Free,Paid Features",checked
Kindle,Ebook apps,"Turn your phone or tablet into a book so you can read anytime, anywhere. ",https://www.amazon.com/b?ie=UTF8&node=16571048011,"iOS,Windows,Android,macOS",Free,checked
